ContractTitle,ContractDate,ContractAmount,Location,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Mr,5/14/2019,Euro,Town Square,3,Buzzster,1,9,true,2,1,sustainable,40% reduction in energy use,1
Dr,3/22/2014,Zloty,Town Square,1,Oyonder,2,42,false,1,2,certified,40% reduction in energy use,0
Ms,1/14/2021,Yuan Renminbi,Town Square,2,Skippad,4,41,false,2,1,certified,40% reduction in energy use,1
Mrs,5/27/2022,Peso,Central District,3,Flashdog,5,37,true,3,2,certified,40% reduction in energy use,1
Mr,3/21/2010,Peso,Central District,1,Browseblab,3,96,false,3,1,sustainable,30% reduction in energy use,0
Rev,5/20/2017,Peso,Central District,2,Agivu,4,16,false,3,3,reclaimed,30% reduction in energy use,1
Mrs,5/18/2003,Peso,Town Square,5,Skilith,5,88,true,2,3,reclaimed,40% reduction in energy use,0
Mr,6/3/2009,Koruna,Central District,4,Twitterworks,3,72,false,2,4,reclaimed,30% reduction in energy use,0
Mrs,8/11/2001,Euro,Town Square,4,Vitz,1,54,false,3,3,reclaimed,30% reduction in energy use,0
Dr,1/25/2003,Euro,Town Square,1,Skyble,3,37,false,1,4,certified,30% reduction in energy use,0
Rev,8/4/2006,Yuan Renminbi,City Centre,3,Oyondu,2,13,false,2,4,certified,30% reduction in energy use,1
Dr,3/9/2013,Lev,Central District,1,Ainyx,4,82,true,1,3,sustainable,30% reduction in energy use,1
Mrs,10/14/2016,Peso,Central District,3,Dynava,1,26,false,1,2,certified,40% reduction in energy use,0
Mrs,9/19/2016,Euro,Town Square,3,Quamba,3,94,true,1,2,reclaimed,30% reduction in energy use,0
Mrs,9/30/2017,Yuan Renminbi,City Centre,1,Chatterbridge,2,0,false,2,1,certified,30% reduction in energy use,0
Mr,3/1/2007,Sol,City Centre,1,Layo,4,28,true,2,3,sustainable,40% reduction in energy use,0
Mrs,7/29/2009,Rial,City Centre,3,Katz,4,86,false,3,2,sustainable,40% reduction in energy use,0
Mr,7/9/2012,Rupiah,Town Square,4,Roombo,4,100,false,1,4,sustainable,40% reduction in energy use,0
Honorable,10/23/2004,Ruble,Central District,3,DabZ,2,27,false,2,2,sustainable,40% reduction in energy use,1
Mrs,4/20/2022,Zloty,City Centre,1,Feednation,1,52,false,1,4,sustainable,30% reduction in energy use,0
Mr,8/18/2020,Koruna,Town Square,3,Trupe,4,32,true,3,1,sustainable,40% reduction in energy use,0
Honorable,2/8/2018,Dirham,Central District,5,Fivechat,1,71,false,3,4,reclaimed,30% reduction in energy use,1
Rev,8/23/2006,Dollar,City Centre,2,Camido,4,52,true,1,3,sustainable,40% reduction in energy use,0
Mr,3/6/2002,Euro,City Centre,4,Realcube,5,11,true,2,3,reclaimed,40% reduction in energy use,0
Mrs,11/19/2004,Peso,City Centre,4,Vitz,2,26,false,1,4,certified,30% reduction in energy use,0
Rev,7/27/2000,Peso,City Centre,2,Avaveo,4,97,true,1,3,sustainable,40% reduction in energy use,1
Mr,6/4/2009,Yuan Renminbi,Central District,5,Fivespan,3,54,true,1,2,certified,40% reduction in energy use,0
Mrs,6/5/2020,Dollar,Town Square,2,Trupe,4,95,false,3,1,reclaimed,30% reduction in energy use,0
Honorable,1/20/2021,Ruble,Central District,4,Browsecat,1,68,true,3,3,reclaimed,30% reduction in energy use,1
Dr,1/8/2008,Peso,Town Square,5,Riffwire,1,72,false,3,2,reclaimed,40% reduction in energy use,1
Honorable,3/13/2016,Yen,Town Square,5,Kaymbo,2,45,true,2,1,sustainable,30% reduction in energy use,1
Rev,4/6/2000,Ruble,Central District,2,Lazzy,3,62,true,3,4,sustainable,30% reduction in energy use,1
Mr,6/16/2021,Yen,Town Square,4,Rhyloo,5,89,false,3,4,certified,40% reduction in energy use,1
Mr,11/10/2013,Shilling,Central District,2,Buzzdog,4,45,true,2,2,certified,30% reduction in energy use,1
Dr,7/30/2020,Peso,Central District,4,Bubblemix,5,64,false,2,2,certified,30% reduction in energy use,1
Ms,5/5/2003,Franc,Town Square,4,Fivechat,2,100,false,1,3,certified,40% reduction in energy use,0
Mr,7/14/2014,Ruble,Town Square,3,Jabberstorm,1,59,false,3,1,sustainable,30% reduction in energy use,0
Rev,6/27/2017,Marka,City Centre,2,Livetube,4,32,true,3,1,certified,30% reduction in energy use,1
Dr,8/20/2010,Lek,Town Square,5,Ooba,4,56,false,2,1,reclaimed,30% reduction in energy use,1
Ms,10/2/2000,Peso,Central District,3,Jabbercube,2,25,true,2,1,reclaimed,30% reduction in energy use,0
Rev,1/25/2000,Dollar,City Centre,1,Livetube,1,12,false,1,1,certified,30% reduction in energy use,0
Dr,10/2/2022,Rupiah,Town Square,4,Shufflebeat,4,52,true,2,2,certified,40% reduction in energy use,1
Honorable,10/22/2002,Quetzal,Central District,3,Tekfly,4,89,true,1,4,reclaimed,40% reduction in energy use,0
Ms,11/24/2018,Franc,Central District,1,Jaxspan,1,68,false,1,2,sustainable,30% reduction in energy use,0
Ms,2/5/2013,Sol,City Centre,5,Topdrive,1,96,false,2,3,certified,40% reduction in energy use,1
Ms,9/14/2008,Peso,Central District,2,Kazu,2,10,true,2,2,sustainable,30% reduction in energy use,0
Mr,8/15/2001,Peso,Central District,4,Devify,4,26,true,2,1,sustainable,40% reduction in energy use,0
Mrs,11/28/2000,Yuan Renminbi,Town Square,2,Janyx,3,31,false,1,4,sustainable,30% reduction in energy use,0
Honorable,4/17/2001,Peso,Town Square,2,Chatterpoint,3,81,true,3,2,sustainable,40% reduction in energy use,0
Mrs,10/20/2019,Peso,City Centre,3,Skyba,2,39,false,2,2,sustainable,30% reduction in energy use,0
Rev,10/5/2021,Koruna,Town Square,2,Thoughtstorm,1,0,true,3,2,certified,40% reduction in energy use,0
Honorable,4/29/2001,Euro,Central District,1,Thoughtmix,3,29,true,3,2,certified,30% reduction in energy use,1
Honorable,10/17/2023,Real,City Centre,2,Viva,4,66,false,3,4,certified,40% reduction in energy use,0
Mr,12/16/2020,Yuan Renminbi,Central District,5,Skipfire,3,56,true,1,2,certified,30% reduction in energy use,1
Ms,7/24/2015,Yuan Renminbi,City Centre,2,Quamba,4,39,true,3,1,sustainable,40% reduction in energy use,0
Mr,1/20/2000,Peso,Town Square,5,Edgeify,2,78,false,3,2,sustainable,40% reduction in energy use,0
Mrs,10/12/2002,Yen,Town Square,2,Pixope,5,52,false,2,4,sustainable,30% reduction in energy use,1
Ms,12/18/2001,Rupiah,Central District,5,Livepath,4,83,false,1,2,certified,40% reduction in energy use,0
Dr,6/10/2023,Real,City Centre,2,Latz,2,57,true,1,2,reclaimed,40% reduction in energy use,0
Mrs,11/5/2004,Euro,Central District,4,Gigazoom,1,70,true,1,2,reclaimed,40% reduction in energy use,0
Ms,12/21/2014,Krona,Town Square,5,Yakitri,4,25,true,1,2,certified,30% reduction in energy use,1
Mr,5/20/2012,Rial,Town Square,2,Bluezoom,5,23,true,3,3,certified,40% reduction in energy use,1
Dr,10/3/2017,Yuan Renminbi,Central District,4,Abatz,3,50,true,1,1,reclaimed,30% reduction in energy use,0
Mr,9/6/2001,Yuan Renminbi,City Centre,1,Brainlounge,5,40,true,3,2,reclaimed,40% reduction in energy use,0
Ms,6/10/2015,Naira,City Centre,3,Brainverse,2,96,false,2,4,sustainable,30% reduction in energy use,1
Honorable,11/28/2018,Yuan Renminbi,Central District,5,Abatz,1,57,true,3,4,sustainable,40% reduction in energy use,0
Mrs,9/23/2007,Euro,City Centre,3,Oyoyo,5,57,false,1,1,certified,40% reduction in energy use,0
Mrs,8/3/2000,Euro,City Centre,1,Pixoboo,3,37,true,1,1,sustainable,40% reduction in energy use,1
Honorable,3/26/2023,Euro,City Centre,2,Oloo,4,9,false,3,3,sustainable,40% reduction in energy use,0
Mrs,8/28/2003,Rupiah,City Centre,1,Fivebridge,5,17,true,1,4,reclaimed,40% reduction in energy use,0
Ms,5/20/2017,Lek,City Centre,3,Gevee,1,56,true,2,4,reclaimed,30% reduction in energy use,1
Dr,10/19/2000,Peso,Town Square,4,Skivee,1,73,false,3,2,reclaimed,30% reduction in energy use,1
Mr,2/21/2005,Ruble,Town Square,2,Izio,4,29,false,1,2,reclaimed,30% reduction in energy use,1
Rev,2/26/2001,Krona,City Centre,4,Zooxo,2,94,false,1,1,reclaimed,30% reduction in energy use,1
Ms,11/8/2018,Yuan Renminbi,Central District,1,Mita,3,55,true,3,1,certified,30% reduction in energy use,0
Dr,10/26/2007,Franc,Central District,2,Gigaclub,5,93,true,2,3,certified,30% reduction in energy use,0
Ms,7/30/2003,Ruble,City Centre,5,Jaxspan,4,40,false,1,1,reclaimed,30% reduction in energy use,0
Honorable,2/6/2023,Peso,Town Square,1,Realbridge,5,15,false,1,3,reclaimed,30% reduction in energy use,1
Mrs,4/9/2002,Rupiah,Central District,4,Photojam,5,15,false,3,2,sustainable,30% reduction in energy use,0
Rev,1/14/2002,Yuan Renminbi,Town Square,5,Blognation,5,12,false,1,2,reclaimed,40% reduction in energy use,1
Honorable,5/21/2007,Zloty,Town Square,1,Wordify,1,26,true,3,1,certified,40% reduction in energy use,1
Honorable,7/19/2002,Euro,Central District,5,Twinder,1,98,false,2,4,reclaimed,40% reduction in energy use,1
Rev,4/16/2021,Afghani,Central District,5,Rhyloo,4,83,true,1,2,reclaimed,30% reduction in energy use,0
Rev,8/17/2014,Ruble,Central District,5,Yoveo,3,14,true,1,4,certified,30% reduction in energy use,1
Dr,12/11/2017,Koruna,Central District,1,Trupe,3,62,false,2,4,certified,30% reduction in energy use,1
Rev,8/21/2016,Koruna,Town Square,1,Rhycero,1,85,true,2,2,sustainable,40% reduction in energy use,0
Rev,6/6/2004,Rupiah,Town Square,1,Dynabox,1,55,true,3,2,sustainable,40% reduction in energy use,0
Honorable,9/15/2006,Ruble,City Centre,3,Flashset,5,30,true,3,3,certified,40% reduction in energy use,1
Mrs,12/23/2014,Yuan Renminbi,Town Square,2,Gigazoom,3,17,false,3,1,certified,40% reduction in energy use,1
Rev,5/14/2002,Euro,Town Square,5,Riffwire,3,9,false,2,2,sustainable,40% reduction in energy use,1
Mrs,4/14/2015,Zloty,Town Square,3,Ainyx,3,94,false,1,1,certified,30% reduction in energy use,0
Mrs,8/29/2012,Zloty,Central District,1,Dabvine,1,6,true,3,3,sustainable,30% reduction in energy use,0
Ms,12/20/2006,Euro,City Centre,4,Zoonder,1,20,true,3,3,reclaimed,30% reduction in energy use,1
Honorable,5/29/2002,Zloty,City Centre,5,Jabberstorm,2,24,true,1,1,reclaimed,40% reduction in energy use,0
Mrs,1/26/2010,Dirham,Town Square,4,Trudeo,4,28,true,3,2,reclaimed,40% reduction in energy use,1
Dr,6/25/2013,Rupee,Central District,1,Tagtune,1,1,false,2,1,sustainable,30% reduction in energy use,1
Honorable,9/26/2013,Ruble,Town Square,1,Zoomzone,5,34,false,1,3,certified,30% reduction in energy use,0
Dr,8/2/2001,Kyat,Town Square,1,Centidel,5,18,true,2,2,sustainable,30% reduction in energy use,1
Dr,7/2/2009,Yuan Renminbi,Town Square,4,Trudeo,5,9,false,3,3,sustainable,40% reduction in energy use,0
Dr,12/7/2011,Rupiah,Central District,4,Vipe,5,48,false,3,4,sustainable,30% reduction in energy use,0
Ms,3/31/2014,Sol,City Centre,2,Bluezoom,2,37,false,2,3,certified,30% reduction in energy use,1
Mr,9/1/2017,Naira,City Centre,2,Topiclounge,2,19,false,3,4,certified,30% reduction in energy use,1
Mrs,12/7/2006,Franc,City Centre,3,Meemm,4,42,false,2,3,sustainable,40% reduction in energy use,0
Ms,7/5/2008,Litas,Town Square,2,Trilith,1,49,true,1,4,reclaimed,30% reduction in energy use,0
Honorable,5/28/2006,Peso,City Centre,4,Demizz,3,45,false,3,1,sustainable,30% reduction in energy use,0
Honorable,5/9/2013,Peso,Town Square,4,Jatri,4,73,false,3,1,sustainable,40% reduction in energy use,1
Mr,6/13/2013,Euro,City Centre,4,Brainbox,3,49,true,3,3,certified,30% reduction in energy use,1
Honorable,7/13/2000,Dollar,City Centre,4,Feedfire,1,10,true,2,3,sustainable,40% reduction in energy use,0
Dr,7/25/2023,Krona,Town Square,5,Devcast,3,73,false,3,3,certified,30% reduction in energy use,0
Dr,12/30/2020,Dollar,Central District,1,Yozio,3,36,false,3,3,certified,30% reduction in energy use,0
Dr,2/23/2003,Peso,Central District,2,Yoveo,1,58,false,1,1,certified,30% reduction in energy use,0
Rev,9/14/2017,Peso,Central District,5,Youbridge,5,99,false,2,4,sustainable,40% reduction in energy use,1
Honorable,12/21/2002,Peso,Central District,1,Skippad,1,79,false,1,4,reclaimed,30% reduction in energy use,0
Mrs,11/12/2006,Yuan Renminbi,Town Square,4,Kimia,3,81,false,1,2,sustainable,40% reduction in energy use,1
Dr,9/7/2007,Euro,Town Square,1,DabZ,5,99,true,2,4,sustainable,30% reduction in energy use,0
Rev,3/5/2017,Rupiah,Town Square,3,Dabvine,5,92,true,3,2,reclaimed,40% reduction in energy use,1
Mr,12/7/2017,Peso,Central District,5,Vinte,2,48,true,3,2,reclaimed,30% reduction in energy use,1
Rev,3/4/2016,Koruna,City Centre,1,Thoughtstorm,3,96,false,1,1,certified,40% reduction in energy use,1
Mr,11/1/2015,Rupiah,Central District,1,Eadel,2,97,true,1,1,reclaimed,30% reduction in energy use,0
Mrs,8/27/2008,Yuan Renminbi,Town Square,4,Flashset,4,26,false,3,2,certified,40% reduction in energy use,1
Rev,12/28/2019,Rupiah,City Centre,2,Mydo,4,63,false,3,3,sustainable,30% reduction in energy use,0
Mr,10/7/2017,Ruble,Central District,4,Roomm,3,5,false,1,2,reclaimed,30% reduction in energy use,1
Dr,4/29/2017,Ruble,Town Square,3,Babbleopia,4,24,false,3,2,sustainable,40% reduction in energy use,1
Ms,2/23/2014,Krone,City Centre,1,Skippad,3,79,false,2,4,sustainable,40% reduction in energy use,1
Ms,10/13/2009,Rupee,Central District,4,Abata,3,24,true,2,1,sustainable,30% reduction in energy use,0
Dr,1/19/2013,Dinar,City Centre,2,Meevee,4,89,false,1,4,reclaimed,30% reduction in energy use,1
Dr,12/10/2017,Dollar,Town Square,2,Oyoyo,5,83,true,3,2,sustainable,40% reduction in energy use,1
Ms,7/3/2020,Peso,Central District,4,Edgeblab,3,43,false,1,2,reclaimed,30% reduction in energy use,1
Ms,7/2/2003,Kip,Town Square,2,Realblab,1,40,true,3,2,certified,40% reduction in energy use,0
Honorable,7/13/2012,Peso,Town Square,1,Browsedrive,3,60,false,2,1,certified,40% reduction in energy use,0
Honorable,7/9/2014,Rupiah,City Centre,4,Meezzy,2,65,true,3,4,reclaimed,30% reduction in energy use,0
Mr,3/31/2009,Euro,Town Square,4,Minyx,3,74,true,3,3,sustainable,30% reduction in energy use,1
Mrs,8/21/2010,Naira,City Centre,4,Thoughtsphere,2,31,false,3,3,reclaimed,40% reduction in energy use,1
Mrs,9/8/2012,Real,City Centre,5,Skibox,1,77,true,2,2,certified,40% reduction in energy use,0
Mrs,5/2/2021,Franc,Town Square,5,Camimbo,3,29,false,2,3,reclaimed,30% reduction in energy use,0
Rev,6/13/2009,Dinar,Central District,5,Skynoodle,5,66,true,3,3,reclaimed,40% reduction in energy use,1
Rev,4/24/2004,Sol,Town Square,1,Buzzdog,5,12,true,1,1,reclaimed,40% reduction in energy use,1
Honorable,5/13/2009,Zloty,City Centre,5,Yakijo,1,49,false,3,4,reclaimed,30% reduction in energy use,1
Ms,3/7/2015,Krona,Town Square,1,Devbug,1,6,true,3,1,reclaimed,30% reduction in energy use,0
Ms,6/6/2020,Yen,Central District,4,Tekfly,1,56,false,2,1,certified,30% reduction in energy use,0
Mrs,2/20/2006,Yuan Renminbi,City Centre,4,Eamia,5,50,false,1,3,reclaimed,40% reduction in energy use,0
Ms,4/5/2002,Zloty,Town Square,1,Buzzster,2,58,false,1,1,certified,30% reduction in energy use,1
Rev,3/31/2022,Koruna,City Centre,1,Twitterwire,4,5,true,3,4,certified,40% reduction in energy use,0
Mrs,3/24/2015,Yuan Renminbi,Central District,1,Dynava,1,22,true,1,4,reclaimed,30% reduction in energy use,0
Dr,7/26/2005,Euro,City Centre,2,Eazzy,5,37,true,3,1,sustainable,40% reduction in energy use,0
Mrs,3/18/2001,Naira,City Centre,2,JumpXS,1,7,false,2,1,reclaimed,30% reduction in energy use,0
Honorable,11/22/2020,Dalasi,Town Square,1,Livefish,1,86,false,2,4,certified,30% reduction in energy use,1
Dr,2/14/2023,Dollar,City Centre,4,Quatz,2,34,true,2,4,certified,30% reduction in energy use,1
Mrs,3/2/2009,Yuan Renminbi,City Centre,2,Dablist,4,29,true,3,1,sustainable,30% reduction in energy use,1
Honorable,9/1/2016,Yuan Renminbi,Town Square,5,Topicstorm,5,17,true,3,2,sustainable,30% reduction in energy use,0
Dr,12/2/2009,Franc,Central District,1,Dabjam,5,74,false,1,4,reclaimed,40% reduction in energy use,0
Dr,10/2/2004,Ruble,Town Square,4,Dabshots,3,65,false,1,3,sustainable,40% reduction in energy use,0
Honorable,3/16/2011,Dollar,Central District,3,Skyba,1,49,false,2,3,reclaimed,40% reduction in energy use,0
Rev,7/23/2005,Shekel,Town Square,3,Youopia,4,47,true,3,1,reclaimed,40% reduction in energy use,1
Ms,5/23/2001,Yuan Renminbi,Town Square,3,Vidoo,5,89,true,2,4,sustainable,40% reduction in energy use,1
Ms,5/25/2000,Krona,Town Square,5,Avamm,2,84,true,2,3,certified,30% reduction in energy use,1
Dr,6/16/2012,Rupiah,City Centre,3,JumpXS,4,51,false,1,2,reclaimed,40% reduction in energy use,0
Mr,9/3/2013,Ariary,Central District,5,Youfeed,4,23,true,2,4,certified,30% reduction in energy use,0
Mrs,10/29/2009,Euro,Central District,4,Quire,4,9,false,3,3,sustainable,40% reduction in energy use,1
Honorable,5/16/2009,Rupiah,Central District,3,Oyope,3,25,true,3,1,reclaimed,30% reduction in energy use,0
Ms,7/9/2007,Pound,Central District,4,Jabbertype,3,45,false,3,2,sustainable,30% reduction in energy use,0
Mrs,3/28/2016,Cedi,Central District,2,Quamba,5,67,false,2,1,reclaimed,40% reduction in energy use,0
Rev,10/15/2021,Afghani,Town Square,4,Thoughtbeat,5,75,true,1,4,certified,30% reduction in energy use,1
Ms,5/1/2016,Rupiah,Central District,3,Dynazzy,3,4,false,1,4,certified,30% reduction in energy use,0
Honorable,2/19/2005,Yen,City Centre,1,Centimia,1,69,false,3,4,certified,40% reduction in energy use,0
Rev,9/24/2009,Pound,City Centre,3,Dazzlesphere,2,5,true,2,4,certified,40% reduction in energy use,1
Dr,11/28/2013,Peso,Central District,2,Mymm,5,46,true,1,4,reclaimed,40% reduction in energy use,0
Dr,7/12/2004,Real,City Centre,3,Brightbean,4,51,true,2,3,sustainable,30% reduction in energy use,0
Dr,9/20/2000,Koruna,City Centre,3,Eadel,3,37,true,1,3,certified,40% reduction in energy use,1
Dr,5/1/2018,Krona,Central District,1,Dabfeed,2,58,false,3,2,sustainable,40% reduction in energy use,1
Dr,9/15/2010,Dalasi,Central District,2,Yotz,5,31,true,3,1,reclaimed,30% reduction in energy use,0
Mr,7/26/2016,Rupiah,Central District,3,Ooba,1,80,true,1,1,certified,40% reduction in energy use,1
Ms,2/4/2018,Ruble,Central District,4,Twitterbeat,5,33,false,3,1,reclaimed,40% reduction in energy use,0
Mrs,10/9/2021,Koruna,Town Square,2,Skyvu,1,2,false,1,3,sustainable,30% reduction in energy use,1
Rev,1/28/2015,Euro,Central District,3,Npath,3,44,false,3,3,reclaimed,30% reduction in energy use,1
Ms,5/8/2011,Rupiah,City Centre,5,Wikizz,4,91,true,1,3,sustainable,30% reduction in energy use,0
Mr,3/20/2019,Rupiah,Town Square,5,Voonte,2,98,true,1,4,sustainable,40% reduction in energy use,1
Ms,2/20/2012,Somoni,Central District,3,Buzzbean,4,19,false,1,4,certified,40% reduction in energy use,1
Mr,9/5/2010,Dollar,Central District,5,Tazz,4,3,false,1,3,certified,30% reduction in energy use,1
Mrs,11/24/2004,Rupiah,Town Square,4,Dabfeed,3,50,true,1,2,reclaimed,30% reduction in energy use,0
Honorable,2/9/2005,Peso,Central District,1,Dabjam,2,16,true,1,1,sustainable,40% reduction in energy use,0
Rev,10/3/2000,Ruble,City Centre,3,Youopia,2,67,true,3,2,reclaimed,40% reduction in energy use,0
Honorable,12/2/2007,Yuan Renminbi,Central District,3,Reallinks,4,82,true,3,1,sustainable,40% reduction in energy use,1
Rev,12/27/2017,Euro,Central District,3,Skiptube,2,0,false,1,2,certified,30% reduction in energy use,1
Ms,9/30/2014,Yuan Renminbi,Central District,1,Browseblab,4,56,true,3,1,reclaimed,30% reduction in energy use,0
Dr,4/6/2012,Pound,City Centre,3,Voomm,3,61,true,3,1,sustainable,40% reduction in energy use,1
Rev,11/4/2018,Dirham,Central District,4,Brightdog,4,82,true,3,4,certified,40% reduction in energy use,0
Mrs,1/15/2006,Euro,Central District,5,Quamba,3,40,false,1,1,sustainable,40% reduction in energy use,1
Mr,7/14/2017,Sol,Central District,3,Quinu,3,27,false,3,2,sustainable,30% reduction in energy use,1
Ms,2/25/2016,Ruble,Central District,4,Quinu,4,61,false,2,1,certified,30% reduction in energy use,0
Dr,10/24/2021,Naira,Central District,3,Twimbo,4,16,false,2,3,certified,40% reduction in energy use,1
Ms,10/29/2012,Rupiah,Central District,1,Minyx,5,93,true,1,4,sustainable,30% reduction in energy use,0
Ms,12/29/2022,Ruble,City Centre,4,Wikido,2,43,false,2,3,sustainable,40% reduction in energy use,1
Rev,10/5/2019,Euro,Town Square,5,Plambee,2,64,false,2,1,sustainable,30% reduction in energy use,0
Rev,8/18/2003,Rupiah,City Centre,1,Leenti,3,37,true,3,4,reclaimed,40% reduction in energy use,0
Mr,5/19/2008,Dong,Town Square,3,Meedoo,1,24,false,3,3,reclaimed,30% reduction in energy use,1
Rev,6/14/2003,Dollar,City Centre,3,Edgepulse,1,76,true,1,2,certified,40% reduction in energy use,1
Rev,2/6/2014,Baht,Central District,4,Trupe,3,64,true,1,3,certified,30% reduction in energy use,0
Ms,10/30/2017,Yuan Renminbi,City Centre,5,Dazzlesphere,2,55,false,3,2,certified,40% reduction in energy use,0
Dr,2/21/2012,Yuan Renminbi,Central District,2,Trudeo,1,85,true,3,4,sustainable,30% reduction in energy use,1
Dr,6/11/2015,Euro,City Centre,5,Gigaclub,1,95,true,2,1,certified,30% reduction in energy use,1
Rev,10/11/2004,Yuan Renminbi,Town Square,2,Kwimbee,4,51,true,2,3,reclaimed,40% reduction in energy use,1
Honorable,6/3/2018,Yuan Renminbi,Central District,4,Youspan,3,48,false,3,4,sustainable,30% reduction in energy use,0
Dr,1/27/2013,Ruble,Central District,5,Buzzbean,4,72,false,1,2,certified,40% reduction in energy use,1
Ms,1/10/2021,Euro,City Centre,5,Yotz,4,99,false,3,3,reclaimed,30% reduction in energy use,0
Dr,3/27/2006,Euro,Town Square,4,Mycat,4,72,false,1,3,sustainable,40% reduction in energy use,1
Honorable,6/22/2021,Dollar,City Centre,4,Vinte,2,87,true,3,2,certified,40% reduction in energy use,1
Honorable,4/30/2023,Rupiah,Town Square,5,Quatz,2,94,false,2,2,certified,40% reduction in energy use,1
Dr,3/14/2003,Rupee,Central District,2,Topicware,2,23,false,2,1,sustainable,30% reduction in energy use,0
Rev,5/15/2004,Yuan Renminbi,Town Square,3,Wordware,4,80,false,1,2,certified,30% reduction in energy use,0
Dr,3/8/2003,Yuan Renminbi,Central District,1,Abatz,4,40,true,1,2,sustainable,40% reduction in energy use,0
Dr,12/2/2006,Euro,City Centre,3,Mynte,2,100,false,2,1,reclaimed,30% reduction in energy use,0
Rev,9/21/2010,Real,Central District,4,Agimba,5,71,false,2,2,certified,40% reduction in energy use,0
Ms,11/26/2009,Hryvnia,City Centre,4,Rhynyx,5,40,true,3,4,sustainable,30% reduction in energy use,1
Mr,12/25/2001,Euro,City Centre,2,Centimia,1,92,true,2,1,reclaimed,40% reduction in energy use,1
Dr,11/22/2019,Yuan Renminbi,Central District,1,Avavee,2,74,false,2,2,certified,40% reduction in energy use,0
Mr,1/8/2009,Tugrik,City Centre,5,Roombo,4,9,false,1,3,certified,30% reduction in energy use,0
Mr,2/20/2017,Rupiah,Central District,2,Jaxnation,5,32,false,3,4,certified,40% reduction in energy use,1
Rev,1/14/2003,Peso,City Centre,4,Wordware,5,34,false,1,3,reclaimed,40% reduction in energy use,0
Mrs,2/5/2018,Marka,Town Square,5,Chatterpoint,4,32,false,3,4,sustainable,30% reduction in energy use,0
Rev,12/15/2004,Yuan Renminbi,Town Square,5,Babbleblab,4,40,true,3,1,certified,30% reduction in energy use,1
Dr,3/28/2008,Zloty,Town Square,4,Eidel,3,10,true,2,1,sustainable,30% reduction in energy use,0
Rev,7/4/2001,Tenge,City Centre,5,Chatterbridge,2,38,false,3,4,sustainable,30% reduction in energy use,0
Dr,5/20/2004,Euro,Central District,4,Tavu,3,95,true,3,4,reclaimed,40% reduction in energy use,1
Ms,7/25/2008,Peso,Central District,4,Youfeed,2,5,true,2,3,sustainable,30% reduction in energy use,0
Dr,7/19/2022,Yen,Town Square,2,Eimbee,4,15,true,3,2,sustainable,40% reduction in energy use,1
Mrs,9/3/2011,Dong,Town Square,5,Kamba,3,36,false,2,4,certified,40% reduction in energy use,1
Mr,4/21/2006,Rupiah,Central District,5,Roombo,5,9,false,3,3,sustainable,30% reduction in energy use,1
Mr,7/17/2015,Rupee,City Centre,1,Linkbridge,5,56,false,2,4,certified,40% reduction in energy use,1
Mr,5/10/2022,Euro,City Centre,4,Eare,5,80,true,1,1,certified,30% reduction in energy use,0
Ms,7/26/2000,Tugrik,Town Square,1,Gigashots,4,43,false,2,2,reclaimed,40% reduction in energy use,1
Dr,12/23/2011,Tugrik,Central District,4,Yotz,3,44,false,3,1,certified,30% reduction in energy use,1
Dr,5/30/2009,Peso,City Centre,2,Zoovu,5,13,true,1,3,sustainable,30% reduction in energy use,0
Ms,6/25/2007,Zloty,Central District,4,Bluezoom,5,73,false,3,1,sustainable,40% reduction in energy use,1
Rev,2/5/2017,Euro,Town Square,3,Quatz,1,52,true,2,3,sustainable,40% reduction in energy use,0
Honorable,12/9/2014,Rial,City Centre,3,Yadel,5,87,false,1,1,sustainable,40% reduction in energy use,1
Ms,2/21/2022,Euro,Central District,4,Meetz,2,90,true,3,4,sustainable,30% reduction in energy use,0
Rev,3/21/2012,Yuan Renminbi,Town Square,3,Brainverse,2,19,true,2,2,sustainable,30% reduction in energy use,1
Rev,3/9/2020,Yuan Renminbi,Central District,4,Photobug,3,26,false,1,2,sustainable,40% reduction in energy use,0
Mr,7/10/2006,Yuan Renminbi,City Centre,1,Jayo,2,40,true,2,3,certified,30% reduction in energy use,1
Honorable,9/25/2012,Rupiah,City Centre,2,Twinte,3,62,true,2,3,sustainable,30% reduction in energy use,1
Ms,10/9/2023,Zloty,Town Square,2,Topicware,4,98,true,3,3,certified,40% reduction in energy use,1
Mr,3/12/2012,Pound,City Centre,2,Flashset,1,78,false,2,2,sustainable,30% reduction in energy use,1
Ms,9/13/2015,Yuan Renminbi,Central District,1,Feedmix,2,64,false,2,3,sustainable,30% reduction in energy use,1
Dr,12/17/2003,Rupiah,City Centre,2,Tagchat,4,53,false,2,1,certified,30% reduction in energy use,1
Mr,5/16/2014,Peso,Central District,4,Dabvine,4,50,true,3,1,certified,40% reduction in energy use,0
Honorable,10/21/2001,Peso,Central District,3,Yodel,4,77,false,3,2,reclaimed,30% reduction in energy use,0
Dr,9/3/2006,Peso,City Centre,4,Gabtype,3,65,false,3,2,sustainable,40% reduction in energy use,1
Honorable,12/29/2011,Rupiah,Town Square,4,Livepath,3,49,false,3,1,certified,30% reduction in energy use,1
