# CSV-File created with merge-csv.com
# -----------------------------------------------------------

ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Eco Elementary School,10/11/2023,9670676,Energy-efficient design,Central District,LEED Silver,Eco-Friendly Designs,LEED,9/19/2023,11,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,6/29/2014,99541511,Renewable energy sources,Downtown,LEED Certified,Green Building Solutions,LEED,9/18/2023,23,Limited,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,5/25/2013,93393633,Renewable energy sources,Metropolitan Area,LEED Certified,Eco-Friendly Designs,Green Globes,7/6/2023,39,Yes,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,10/1/2011,67717780,Renewable energy sources,Town Square,LEED Silver,Green Architects Inc.,ENERGY STAR Certified,11/9/2023,69,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,6/11/2014,75613237,Green roof,Central District,LEED Gold,Eco-Friendly Designs,ENERGY STAR Certified,1/7/2024,60,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,11/5/2011,60292588,LEED Platinum certified,Metropolitan Area,LEED Certified,Sustainable Builders,ENERGY STAR Certified,11/14/2023,11,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,12/25/2020,3827117,Green roof,Metropolitan Area,LEED Gold,Sustainable Builders,LEED,8/7/2023,82,No,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,3/5/2010,88441960,LEED Platinum certified,Town Square,LEED Certified,Sustainable Builders,ISO 14001,7/31/2023,26,Limited,low-flow,local,25% reduction in energy use,false
Eco Elementary School,12/23/2008,95491851,Green roof,Central District,LEED Certified,Green Architects Inc.,LEED,9/10/2023,65,Yes,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,5/22/2006,46926483,LEED Platinum certified,Central District,LEED Silver,Green Building Solutions,LEED,8/28/2023,88,No,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,8/24/2012,94311212,Rainwater harvesting,Downtown,LEED Platinum,Eco-Friendly Designs,Green Globes,2/24/2024,66,No,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,3/6/2018,93539764,Renewable energy sources,City Centre,LEED Certified,Eco-Friendly Designs,LEED,11/13/2023,78,Yes,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,6/12/2014,23443039,LEED Platinum certified,Downtown,Not Applicable,EcoBuild Constructions,LEED,10/23/2023,67,Yes,low-flow,sustainable,40% reduction in energy use,false
Green Office Building,9/21/2016,86101525,Renewable energy sources,Downtown,Not Applicable,Green Architects Inc.,LEED,8/20/2023,81,Yes,low-flow,sustainable,30% reduction in energy use,false
Green Office Building,10/18/2022,75284393,Energy-efficient design,Downtown,LEED Certified,Green Building Solutions,LEED,11/11/2023,30,Yes,low-flow,certified,40% reduction in energy use,false
Green Office Building,7/1/2018,68136410,Energy-efficient design,Metropolitan Area,LEED Silver,Green Architects Inc.,LEED,7/7/2023,29,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,8/3/2008,27562519,Green roof,Central District,Not Applicable,Eco-Friendly Designs,LEED,7/2/2023,31,Limited,low-flow,sustainable,40% reduction in energy use,true
Green Office Building,6/6/2006,18660979,LEED Platinum certified,Central District,LEED Certified,Green Building Solutions,ENERGY STAR Certified,9/12/2023,39,Yes,low-flow,sustainable,30% reduction in energy use,true
Sustainable Library,9/9/2019,79441945,Rainwater harvesting,Town Square,LEED Certified,EcoBuild Constructions,LEED,11/7/2023,14,No,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,5/31/2006,56571259,Green roof,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,5/27/2023,56,Yes,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,1/30/2011,137774,Green roof,Town Square,LEED Certified,Sustainable Builders,LEED,10/12/2023,51,Limited,low-flow,certified,40% reduction in energy use,true
Green Office Building,9/18/2008,10673470,Renewable energy sources,Metropolitan Area,LEED Silver,Eco-Friendly Designs,ISO 14001,8/17/2023,50,Limited,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,2/16/2008,16500299,Green roof,Town Square,LEED Certified,Eco-Friendly Designs,Green Globes,5/26/2023,83,Yes,high-efficiency,reclaimed,40% reduction in energy use,false
Sustainable Library,1/30/2012,54798164,Renewable energy sources,Central District,LEED Certified,Eco-Friendly Designs,Green Globes,1/4/2024,8,Limited,low-flow,reclaimed,40% reduction in energy use,false
Green Office Building,1/12/2006,78691913,Renewable energy sources,Central District,LEED Certified,Green Building Solutions,LEED,9/22/2023,52,Limited,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,9/6/2014,41879940,Green roof,City Centre,LEED Gold,Eco-Friendly Designs,LEED,5/27/2023,54,Yes,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,6/16/2018,5269496,LEED Platinum certified,Central District,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,5/25/2023,29,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,6/21/2012,44446161,Green roof,Town Square,LEED Silver,Green Building Solutions,ISO 14001,7/27/2023,42,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,10/15/2015,67043945,LEED Platinum certified,Downtown,LEED Silver,Green Building Solutions,Green Globes,10/29/2023,49,Limited,high-efficiency,recycled,40% reduction in energy use,false
Green Office Building,2/9/2015,38875717,LEED Platinum certified,Town Square,LEED Certified,Green Architects Inc.,LEED,2/24/2024,11,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,3/18/2019,39121582,Green roof,Metropolitan Area,LEED Silver,Green Building Solutions,ENERGY STAR Certified,10/4/2023,0,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,1/13/2009,68557095,Rainwater harvesting,Metropolitan Area,LEED Gold,Green Architects Inc.,LEED,10/1/2023,75,Limited,high-efficiency,local,40% reduction in energy use,true
Eco Elementary School,5/5/2010,61817072,Rainwater harvesting,Town Square,LEED Certified,EcoBuild Constructions,Green Globes,1/19/2024,15,No,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,4/6/2015,68574437,Rainwater harvesting,Downtown,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,8/6/2023,96,Limited,low-flow,sustainable,30% reduction in energy use,true
Sustainable Library,9/1/2018,45847000,Rainwater harvesting,Downtown,LEED Gold,Green Architects Inc.,LEED,12/24/2023,36,Limited,low-flow,certified,30% reduction in energy use,false
Green Office Building,12/10/2017,35444440,Renewable energy sources,Town Square,LEED Certified,Eco-Friendly Designs,ISO 14001,10/25/2023,89,Limited,low-flow,reclaimed,25% reduction in energy use,false
Eco Elementary School,11/27/2010,80625032,Rainwater harvesting,Downtown,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,12/25/2023,66,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,4/21/2012,92268444,Rainwater harvesting,Town Square,LEED Certified,Eco-Friendly Designs,ISO 14001,7/2/2023,9,Yes,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,12/13/2019,71287455,LEED Platinum certified,Downtown,LEED Silver,Green Building Solutions,ENERGY STAR Certified,12/25/2023,28,Yes,low-flow,sustainable,30% reduction in energy use,true
Eco Elementary School,4/6/2006,5108789,Renewable energy sources,City Centre,LEED Gold,Eco-Friendly Designs,ISO 14001,10/13/2023,31,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,10/5/2018,17405142,LEED Platinum certified,Town Square,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,2/4/2024,84,Limited,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,6/19/2006,27106933,Rainwater harvesting,City Centre,LEED Certified,Green Architects Inc.,LEED,2/10/2024,44,Limited,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,8/30/2022,30931540,Green roof,Town Square,Not Applicable,Sustainable Builders,LEED,6/15/2023,49,Yes,high-efficiency,recycled,30% reduction in energy use,true
Sustainable Library,7/7/2019,73537135,Green roof,Central District,LEED Certified,Green Architects Inc.,LEED,5/19/2023,90,Yes,low-flow,certified,30% reduction in energy use,false
Green Office Building,9/1/2009,58126526,Green roof,Central District,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,11/3/2023,39,Yes,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,5/19/2006,53780621,Energy-efficient design,Town Square,Not Applicable,Sustainable Builders,ISO 14001,10/20/2023,49,No,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,7/8/2020,10896991,Renewable energy sources,Downtown,LEED Silver,Green Building Solutions,LEED,5/16/2023,65,Yes,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,12/3/2014,7893495,Rainwater harvesting,Central District,LEED Silver,Sustainable Builders,LEED,8/22/2023,82,No,low-flow,certified,30% reduction in energy use,true
Eco Elementary School,12/24/2006,11437611,Green roof,Central District,LEED Silver,Green Architects Inc.,LEED,7/31/2023,39,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,3/28/2013,88458767,LEED Platinum certified,Central District,LEED Silver,Green Building Solutions,LEED,6/21/2023,9,Yes,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,10/18/2015,19029599,Energy-efficient design,Downtown,LEED Certified,Sustainable Builders,Green Globes,6/27/2023,8,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,9/14/2008,79122811,LEED Platinum certified,Town Square,LEED Certified,Green Architects Inc.,LEED,1/5/2024,37,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,5/29/2007,31352149,LEED Platinum certified,City Centre,LEED Certified,Green Building Solutions,ENERGY STAR Certified,8/1/2023,66,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,5/25/2016,35182935,Renewable energy sources,Town Square,LEED Platinum,Sustainable Builders,LEED,10/7/2023,53,Yes,low-flow,certified,30% reduction in energy use,true
Sustainable Library,12/7/2014,49616680,Green roof,Central District,LEED Certified,Green Architects Inc.,LEED,7/30/2023,13,Limited,high-efficiency,sustainable,25% reduction in energy use,false
Eco Elementary School,9/26/2014,37834466,Renewable energy sources,Central District,LEED Certified,Eco-Friendly Designs,LEED,3/6/2024,85,Yes,low-flow,reclaimed,30% reduction in energy use,false
Sustainable Library,9/1/2009,50243280,Energy-efficient design,City Centre,LEED Certified,Eco-Friendly Designs,LEED,5/18/2023,6,Yes,low-flow,reclaimed,30% reduction in energy use,true
Eco Elementary School,10/4/2015,3349339,Renewable energy sources,City Centre,Not Applicable,Green Building Solutions,LEED,8/21/2023,49,Yes,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,5/17/2012,28033845,Energy-efficient design,Town Square,LEED Certified,Green Building Solutions,LEED,5/21/2023,0,Yes,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,10/9/2021,5062236,Rainwater harvesting,Central District,LEED Certified,Sustainable Builders,LEED,11/5/2023,1,Limited,high-efficiency,recycled,40% reduction in energy use,true
Green Office Building,4/1/2021,41458690,Energy-efficient design,City Centre,LEED Certified,Green Architects Inc.,LEED,7/8/2023,27,Yes,low-flow,reclaimed,40% reduction in energy use,false
Green Office Building,4/13/2021,10192856,Rainwater harvesting,Metropolitan Area,LEED Silver,Green Building Solutions,ENERGY STAR Certified,5/31/2023,12,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,3/21/2020,18011315,Rainwater harvesting,City Centre,LEED Gold,Green Architects Inc.,Green Globes,11/14/2023,27,No,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,6/11/2013,11394334,Renewable energy sources,City Centre,LEED Silver,Eco-Friendly Designs,LEED,9/7/2023,55,No,low-flow,sustainable,25% reduction in energy use,true
Sustainable Library,10/26/2020,97107161,Energy-efficient design,Downtown,LEED Silver,Green Architects Inc.,LEED,10/24/2023,41,Yes,low-flow,certified,40% reduction in energy use,true
Sustainable Library,8/28/2006,72166122,LEED Platinum certified,City Centre,LEED Silver,EcoBuild Constructions,LEED,6/13/2023,50,Yes,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,7/7/2021,75858792,Rainwater harvesting,Central District,LEED Gold,EcoBuild Constructions,ISO 14001,1/20/2024,74,No,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,3/28/2021,19706638,LEED Platinum certified,City Centre,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,10/18/2023,46,No,high-efficiency,sustainable,30% reduction in energy use,true
Sustainable Library,5/20/2016,5995024,LEED Platinum certified,City Centre,LEED Gold,Sustainable Builders,ENERGY STAR Certified,12/17/2023,42,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,4/3/2009,57026676,Green roof,Metropolitan Area,LEED Certified,Sustainable Builders,Green Globes,10/30/2023,7,Yes,low-flow,local,40% reduction in energy use,false
Green Office Building,9/19/2016,72839675,Rainwater harvesting,Town Square,LEED Silver,Eco-Friendly Designs,LEED,2/19/2024,28,Yes,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,3/2/2018,13484126,LEED Platinum certified,City Centre,LEED Certified,Green Architects Inc.,LEED,10/25/2023,77,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,8/17/2012,9357065,Green roof,Downtown,LEED Certified,EcoBuild Constructions,LEED,11/17/2023,21,Yes,high-efficiency,local,25% reduction in energy use,false
Eco Elementary School,7/21/2021,7324551,Renewable energy sources,Town Square,LEED Gold,Green Building Solutions,ISO 14001,7/25/2023,83,No,low-flow,certified,40% reduction in energy use,false
Sustainable Library,10/11/2007,21857598,LEED Platinum certified,Downtown,LEED Certified,EcoBuild Constructions,LEED,5/25/2023,63,Yes,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,1/19/2011,39396437,Renewable energy sources,Downtown,LEED Silver,Green Architects Inc.,ISO 14001,1/22/2024,82,Limited,high-efficiency,certified,25% reduction in energy use,true
Green Office Building,4/5/2018,50420382,Rainwater harvesting,Downtown,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,5/23/2023,21,No,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,10/23/2014,9943087,Rainwater harvesting,City Centre,Not Applicable,Green Building Solutions,LEED,12/23/2023,75,Limited,low-flow,recycled,25% reduction in energy use,true
Eco Elementary School,9/21/2008,33110169,Rainwater harvesting,City Centre,LEED Silver,Eco-Friendly Designs,ISO 14001,11/20/2023,1,Limited,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,9/10/2011,43571917,Energy-efficient design,Metropolitan Area,LEED Gold,Eco-Friendly Designs,Green Globes,10/1/2023,96,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,4/7/2017,62085470,Rainwater harvesting,Downtown,LEED Gold,Green Building Solutions,LEED,6/16/2023,78,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,10/23/2015,14077671,Renewable energy sources,Town Square,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,10/9/2023,57,Yes,high-efficiency,reclaimed,25% reduction in energy use,false
Eco Elementary School,10/18/2023,20037304,Green roof,Metropolitan Area,Not Applicable,Sustainable Builders,LEED,11/22/2023,17,Limited,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,1/19/2023,83126958,LEED Platinum certified,Town Square,LEED Silver,Green Architects Inc.,LEED,1/2/2024,58,Limited,high-efficiency,local,30% reduction in energy use,false
Green Office Building,2/14/2010,88060008,Green roof,Metropolitan Area,LEED Silver,Green Building Solutions,LEED,1/3/2024,48,No,high-efficiency,reclaimed,25% reduction in energy use,true
Green Office Building,12/24/2014,87895112,Green roof,City Centre,LEED Certified,Green Architects Inc.,Green Globes,9/30/2023,14,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,11/13/2010,63681420,Rainwater harvesting,Central District,LEED Silver,EcoBuild Constructions,LEED,8/24/2023,96,No,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,9/30/2006,77415884,Renewable energy sources,Downtown,LEED Gold,Green Architects Inc.,LEED,10/10/2023,44,Limited,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,11/23/2016,4775581,Rainwater harvesting,Central District,LEED Silver,Sustainable Builders,LEED,8/1/2023,8,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,10/9/2015,26046935,Green roof,City Centre,LEED Gold,Green Building Solutions,Green Globes,12/14/2023,47,Yes,high-efficiency,local,40% reduction in energy use,false
Green Office Building,5/6/2014,83275646,Renewable energy sources,Central District,LEED Certified,Green Architects Inc.,ISO 14001,9/5/2023,80,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,7/4/2023,8184455,Energy-efficient design,Town Square,LEED Certified,Green Building Solutions,LEED,11/28/2023,85,No,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,3/19/2022,27087769,Renewable energy sources,Town Square,LEED Certified,Green Building Solutions,Green Globes,1/16/2024,94,Limited,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,9/10/2016,89833450,Rainwater harvesting,Town Square,LEED Platinum,Sustainable Builders,LEED,11/15/2023,42,Yes,low-flow,local,40% reduction in energy use,true
Eco Elementary School,7/4/2021,49612288,Renewable energy sources,City Centre,LEED Silver,Sustainable Builders,ENERGY STAR Certified,12/28/2023,74,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,2/26/2011,80314234,Green roof,City Centre,LEED Silver,Sustainable Builders,LEED,7/14/2023,81,Yes,low-flow,sustainable,40% reduction in energy use,true
Eco Elementary School,4/9/2010,26101693,Green roof,Metropolitan Area,LEED Certified,Green Building Solutions,Green Globes,3/5/2024,77,Limited,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,3/2/2022,33551192,Green roof,Central District,Not Applicable,Eco-Friendly Designs,LEED,5/26/2023,82,Limited,low-flow,certified,40% reduction in energy use,false
Sustainable Library,10/5/2019,92590855,LEED Platinum certified,City Centre,LEED Certified,Green Building Solutions,LEED,12/8/2023,58,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,7/9/2019,72322992,Energy-efficient design,Central District,LEED Certified,Green Architects Inc.,LEED,7/2/2023,0,Limited,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,12/30/2010,92710403,Energy-efficient design,Downtown,LEED Silver,Green Building Solutions,LEED,1/28/2024,37,Yes,high-efficiency,local,30% reduction in energy use,true
Green Office Building,5/12/2023,99051783,LEED Platinum certified,Central District,LEED Gold,Green Architects Inc.,LEED,11/1/2023,93,Yes,high-efficiency,certified,25% reduction in energy use,true
Sustainable Library,5/16/2017,88210151,Renewable energy sources,Town Square,LEED Certified,Green Building Solutions,LEED,2/24/2024,91,No,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,2/15/2012,39242255,Energy-efficient design,Metropolitan Area,LEED Certified,Eco-Friendly Designs,ISO 14001,10/21/2023,39,Limited,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,2/9/2009,83031199,Rainwater harvesting,City Centre,Not Applicable,Eco-Friendly Designs,LEED,2/19/2024,1,Limited,high-efficiency,reclaimed,25% reduction in energy use,false
Eco Elementary School,5/11/2020,9299459,Energy-efficient design,Downtown,LEED Platinum,Eco-Friendly Designs,LEED,7/2/2023,58,Yes,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,2/3/2012,25755950,Renewable energy sources,City Centre,LEED Certified,Eco-Friendly Designs,LEED,10/23/2023,36,No,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,12/27/2005,65422804,Renewable energy sources,Central District,LEED Silver,Eco-Friendly Designs,LEED,12/19/2023,74,Limited,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,11/27/2019,94200125,Energy-efficient design,City Centre,LEED Silver,Sustainable Builders,LEED,11/6/2023,99,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,1/26/2018,9299412,Green roof,Town Square,LEED Certified,Green Architects Inc.,LEED,8/6/2023,49,Limited,high-efficiency,recycled,30% reduction in energy use,false
Eco Elementary School,9/2/2006,3281692,Green roof,Downtown,LEED Silver,Green Architects Inc.,LEED,6/22/2023,2,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,12/28/2017,42434425,Energy-efficient design,City Centre,LEED Platinum,Green Architects Inc.,ENERGY STAR Certified,8/5/2023,0,Limited,high-efficiency,recycled,40% reduction in energy use,false
Eco Elementary School,8/13/2019,64156479,Green roof,Downtown,LEED Gold,Green Architects Inc.,LEED,3/2/2024,47,Yes,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,3/21/2022,85607795,Rainwater harvesting,Town Square,LEED Certified,Sustainable Builders,LEED,10/10/2023,35,No,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,3/28/2018,21191582,Energy-efficient design,Central District,LEED Certified,Green Building Solutions,LEED,12/28/2023,84,Limited,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,4/11/2013,85690809,Renewable energy sources,Downtown,LEED Certified,Green Architects Inc.,LEED,11/6/2023,12,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,1/6/2022,52966393,Rainwater harvesting,Town Square,LEED Certified,Sustainable Builders,LEED,9/11/2023,99,Limited,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,7/5/2016,44163557,Energy-efficient design,Central District,LEED Certified,Green Architects Inc.,LEED,11/27/2023,21,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,5/25/2014,89120966,Rainwater harvesting,Downtown,LEED Gold,EcoBuild Constructions,LEED,11/28/2023,13,No,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,12/6/2019,52192391,Energy-efficient design,Metropolitan Area,LEED Silver,Green Architects Inc.,ISO 14001,10/23/2023,19,No,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,5/27/2011,88069019,Renewable energy sources,City Centre,LEED Silver,Sustainable Builders,LEED,12/9/2023,14,No,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,4/15/2014,88617666,Energy-efficient design,Metropolitan Area,LEED Certified,EcoBuild Constructions,LEED,9/27/2023,50,Yes,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,8/26/2009,33394682,Green roof,Central District,LEED Certified,Green Architects Inc.,LEED,2/2/2024,5,Yes,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,11/4/2011,68004437,Energy-efficient design,Metropolitan Area,LEED Platinum,EcoBuild Constructions,LEED,2/28/2024,26,Limited,low-flow,certified,25% reduction in energy use,true
Eco Elementary School,8/17/2016,6301234,LEED Platinum certified,Central District,LEED Certified,Eco-Friendly Designs,LEED,5/20/2023,37,No,high-efficiency,local,40% reduction in energy use,false
Green Office Building,8/8/2011,501951,Energy-efficient design,Central District,LEED Certified,Eco-Friendly Designs,LEED,9/19/2023,38,Yes,low-flow,certified,40% reduction in energy use,true
Sustainable Library,10/12/2019,53020151,Green roof,Metropolitan Area,LEED Certified,Green Building Solutions,ENERGY STAR Certified,2/25/2024,71,No,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,5/22/2022,36075323,Energy-efficient design,Central District,LEED Certified,Green Building Solutions,LEED,2/24/2024,36,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,1/5/2021,25328681,Green roof,City Centre,LEED Silver,Sustainable Builders,LEED,9/17/2023,22,No,low-flow,certified,30% reduction in energy use,false
Sustainable Library,3/31/2015,74554218,LEED Platinum certified,Town Square,Not Applicable,Eco-Friendly Designs,Green Globes,10/27/2023,79,Yes,high-efficiency,local,30% reduction in energy use,true
Eco Elementary School,1/19/2011,37544489,Green roof,Town Square,LEED Silver,EcoBuild Constructions,LEED,2/25/2024,31,Yes,low-flow,sustainable,30% reduction in energy use,false
Eco Elementary School,11/3/2007,29276490,Rainwater harvesting,Town Square,LEED Silver,Green Building Solutions,LEED,11/2/2023,18,Limited,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,3/12/2016,21686999,Energy-efficient design,City Centre,LEED Silver,Green Building Solutions,LEED,1/13/2024,30,No,low-flow,local,25% reduction in energy use,true
Green Office Building,11/12/2017,20944460,Energy-efficient design,Downtown,LEED Silver,Green Architects Inc.,ENERGY STAR Certified,7/10/2023,73,Yes,high-efficiency,certified,30% reduction in energy use,false
Green Office Building,1/10/2014,82630001,Renewable energy sources,City Centre,LEED Platinum,Green Architects Inc.,LEED,5/29/2023,63,Limited,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,8/16/2023,56443763,Energy-efficient design,Town Square,Not Applicable,Green Architects Inc.,LEED,7/26/2023,90,No,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,8/5/2007,64549562,Energy-efficient design,Town Square,LEED Certified,Sustainable Builders,LEED,6/4/2023,80,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,1/4/2020,85273853,LEED Platinum certified,Metropolitan Area,LEED Silver,EcoBuild Constructions,Green Globes,11/21/2023,35,Limited,high-efficiency,local,40% reduction in energy use,false
Green Office Building,7/8/2014,51018622,Rainwater harvesting,Metropolitan Area,LEED Gold,Sustainable Builders,LEED,6/29/2023,31,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,9/14/2013,47801651,Rainwater harvesting,Downtown,LEED Certified,Green Building Solutions,LEED,11/11/2023,68,Yes,low-flow,recycled,30% reduction in energy use,true
Green Office Building,12/18/2013,97410273,Green roof,Central District,LEED Certified,Green Building Solutions,ISO 14001,9/19/2023,47,Limited,high-efficiency,certified,25% reduction in energy use,false
Green Office Building,11/29/2017,6597127,Rainwater harvesting,Town Square,LEED Silver,EcoBuild Constructions,LEED,10/24/2023,67,Limited,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,10/12/2011,85803261,Renewable energy sources,City Centre,LEED Silver,EcoBuild Constructions,LEED,1/27/2024,1,Limited,low-flow,local,25% reduction in energy use,true
Green Office Building,1/7/2021,53224263,Green roof,Metropolitan Area,LEED Silver,EcoBuild Constructions,LEED,1/26/2024,90,Limited,low-flow,local,25% reduction in energy use,false
Eco Elementary School,11/30/2016,41292827,Renewable energy sources,City Centre,LEED Platinum,Green Architects Inc.,Green Globes,10/20/2023,1,No,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,1/16/2010,43190135,Energy-efficient design,Central District,LEED Silver,Green Building Solutions,ISO 14001,9/28/2023,98,Yes,high-efficiency,sustainable,25% reduction in energy use,false
Sustainable Library,12/21/2010,45679556,LEED Platinum certified,City Centre,LEED Certified,Sustainable Builders,LEED,7/10/2023,48,Yes,high-efficiency,local,25% reduction in energy use,true
Sustainable Library,9/28/2009,82593011,Green roof,Downtown,LEED Certified,EcoBuild Constructions,LEED,6/22/2023,53,Limited,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,8/5/2013,73603556,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Building Solutions,Green Globes,10/5/2023,54,Limited,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,10/14/2016,63320320,Green roof,Downtown,LEED Certified,Green Building Solutions,LEED,12/1/2023,18,Limited,low-flow,reclaimed,25% reduction in energy use,true
Eco Elementary School,9/19/2010,6597259,Energy-efficient design,Town Square,LEED Certified,Green Building Solutions,LEED,8/25/2023,40,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,6/9/2012,91150479,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,10/4/2023,98,Limited,high-efficiency,sustainable,40% reduction in energy use,true
